song,title
1,Alexander Hamilton
2,Aaron Burr- Sir
3,My Shot
4,The Story of Tonight
5,The Schuyler Sisters
6,Farmer Refuted
7,You'll be Back
8,Right Hand Man
9,A Winter's Ball
10,Helpless
11,Satisfied
12,The Story of Tonight (Reprise)
13,Wait for It
14,Stay Alive
15,Ten Duel Commandments
16,Meet Me Inside
17,That Would be Enough
18,Guns and Ships
19,History Has Its Eyes On You
20,Yorktown (The World Turned Upside Down)
21,What Comes Next
22,Dear Theodosia
23,Non-Stop
24,What'd I Miss?
25,Cabinet Battle #1
26,Take a Break
27,Say No to This
28,The Room Where It Happens
29,Schuyler Defeated
30,Cabinet Battle #2
31,Washington on Your Side
32,One Last Time
33,I Know Him
34,The Adams Administration
35,We Know
36,Hurricane
37,The Reynolds Pamphlet
38,Burn
39,Blow Us All Away
40,Stay Alive (Reprise)
41,It's Quiet Uptown
42,The Election of 1800
43,Your Obedient Servant
44,Best of Wives and Best of Women
45,The World Was Wide Enough
46,Who Lives- Who Dies- Who Tells Your Story?
