themes,notes,lines,song
1,,27,1
1,,54,1
1,,76,1
3,,2,2
3,,4,2
3,,5,2
3,,8,2
4,,22,2
4,,24,2
4,,26,2
5,,59,2
6,,4-8,3
6,,36-46,3
6,,51-52,3
6,,57-58,3
6,,84-93,3
7,,106-109,3
8,,115-118,3
1,,139,3
6,,143-147,3
7/6,,148-149,3
6,,151-161,3
10,,25,5
10,,34,5
10,,61-64,5
10,,75,5
7,,10,8
7,,13,8
7,,17,8
7,,19,8
11,,34,8
11,,57,8
3,,85,8
3,,87,8
3,,90,8
3,,104,8
3,,106,8
3,,108,8
3,,110,8
3,,114,8
3,,116,8
12,Dying/Living,127,8
6,,133-136,8
7/3,,146,8
7,,148-149,8
7,,151,8
13,,9-10,10
13,,23,10
13,,27,10
13,,60-61,10
13,,65,10
13,,87,10
14,,11,11
14,,25,11
14,,27,11
14,,29,11
1,,34,11
13,,52,11
13,,54,11
13,,56,11
14,,81,11
14,,106,11
14,,110-111,11
3,,20,12
3,,45,12
4,,51,12
1,,54,12
15,Love,7-11,13
1,,17-18,13
15,Death,26-30,13
1,,36-41,13
1,,43-46,13
1,,49-52,13
1,,54-57,13
5,,58,13
1,,59-62,13
1,,87-88,13
15,Life,89-91,13
1,,97-98,13
10,,1-2,14
3,,10,14
10,,23,14
5,,32,14
3,,53,14
3,,55,14
16,,66,14
3,,67,14
6,,73,14
17,,1-2,15
14,,6,15
3,,35,15
3,,39,15
17,,45-46,15
14,,4,16
3,,11,16
3,,17,16
8/10,,41,16
8,,42,16
10,,43,16
3,,47,16
10,,1-3,17
10,,15,17
10,,19-22,17
10/18,,23,17
18,,27,17
18,,31-34,17
19,,35,17
19,,39-40,17
18,,43-45,17
3,,29,18
3,,32,18
11,,39-43,18
16,,8,19
16,,13,19
16,,17-19,19
6,,16-20,20
8,,23-26,20
20,,10-12,22
20,,14,22
20,,33-35,22
20,,37,22
7,,7,23
8,,28-30,23
4,,51-52,23
3,,61,23
3,,63,23
1,,92,23
5,,103-104,23
1,,107,23
10,,122-125,23
18,,124-128,23
8,,131-138,23
11,,146,23
10,,157,23
13,,158,23
10/18,,160,23
14,,161-167,23
18,,168,23
14,,169-171,23
10,,172-173,23
18,,174-175,23
16,,176-181,23
8,,185,23
16,,187,23
6,,188-192,23
3,,79,24
3,,2,25
5,,21,25
3,,50,25
12,Winning/Governing,66,25
3,,73,25
17,,1-13,26
1,,31,26
17,,49,26
1,,84,26
10,,113-114,26
3,,21,27
3,,24,27
13,,36,27
3,,58,27
3,,70,27
3,,72,27
13,,78,27
13,,81,27
13,,87,27
13,,96,27
3,,2,28
19,,7,28
4,,16,28
21,,33-40,28
21,,45-46,28
21,,61-68,28
21,,75,28
21,,93-101,28
21,,106,28
1,,123,28
19,,125-126,28
5,,129-130,28
21,,131-167,28
21,,175-181,28
3,,1,30
5,,9-11,30
3,,33,30
3,,39,30
3,,3,32
3,,5,32
3,,9,32
4,,10,32
3,,16,32
3,,26,32
3,,28,32
16,,68,32
21,,24,35
14,,45,35
8,,8,36
8,,34,36
1,,35-37,36
19,,43,36
1,,44,36
14,,42-43,37
19,,32,38
19,,37,38
19,,7,39
20,,11,39
19,,14,39
20,,23,39
17,,79-80,39
10,,1-3,40
17,,39-40,40
17,,42-46,40
18,,27-28,41
18,,32,41
18,,37-40,41
10,,46,41
18,,56-57,41
4,,26-28,42
3,,53,42
3,,55,42
3,,62,42
21,,64,42
5,,97,42
21,,9-14,43
3,,28,43
3,,44,43
5,,50-51,43
5,,54,43
3,,58,43
8,,5,44
18,,7,44
17,,1-2,45
17,,41,45
8,,43-45,45
6,,49,45
19,,50-51,45
7,,56-57,45
8,,58,45
7,,66,45
1,,72,45
15,Death,91-92,45
16,,94,45
16,,4-6,46
16,,10-12,46
16,,17-19,46
16,,24-25,46
19,,27,46
18,,31,46
16,,34,46
8,,36-37,46
16,,41,46
16,,54,46
18,,58,46
16,,59,46
18,,71,46
16,,72,46
16,,76-80,46
